location_id,risk_zone,composite_risk_score,premium_per_hectare,zone_multiplier,rainy_days_pct,max_event,max_dry_spell,cv,total_rainfall,mean_rainfall
999029307,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999029308,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999029309,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999073917,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
999073918,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097270983,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097270984,Zone 4 (Very High Risk),0.417,150.0,1.5,76.589,1.472,4,1.447,56.083,0.188
1097270989,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097270991,Zone 4 (Very High Risk),0.417,150.0,1.5,76.589,1.472,4,1.447,56.083,0.188
1097270992,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097270993,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275287,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275288,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275295,Zone 4 (Very High Risk),0.407,150.0,1.5,78.595,1.403,4,1.421,59.481,0.199
1097275296,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275303,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275322,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275333,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275334,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275336,Zone 4 (Very High Risk),0.407,150.0,1.5,78.595,1.403,4,1.421,59.481,0.199
1097275337,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275340,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275342,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1097275343,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189000162,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189000490,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189000491,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189002593,Zone 4 (Very High Risk),0.406,150.0,1.5,89.967,2.28,1,1.47,73.852,0.247
1189002594,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189002596,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189003166,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1189003167,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
1194723986,Zone 1 (Low Risk),0.375,60.0,0.6,0.0,0.0,299,0.0,0.0,0.0
